scenario,history_stratum,prediction_type,horizon_years,bin_index,n_landmarks,n_patients,prediction_min,prediction_max,patient_balanced_mean_prediction,weighted_km_observed_risk,calibration_difference
no_ADAS13,all,cross_fitted_intercept_only,5,7,2630,2220,0.705344699901429,0.8251289519153433,0.7639913028750256,0.7366998088843822,0.027291493990643345
no_ADAS13,all,cross_fitted_intercept_only,5,8,2630,2085,0.8251538865285631,0.9279631273924338,0.8786173944976553,0.8015996577004687,0.0770177367971866
no_ADAS13,all,cross_fitted_intercept_only,5,9,2631,1803,0.9280856060964352,0.999999568943056,0.963085620373042,0.851582748818878,0.11150287155416405
no_ADAS13,all,cross_fitted_intercept_slope,1,0,2630,1467,0.013704284155792501,0.020166572680564543,0.017288004847551205,0.010304856869013612,0.006983147978537593
no_ADAS13,all,cross_fitted_intercept_slope,1,1,2630,1942,0.02016799324747931,0.02508412122116155,0.022834722767523193,0.014776038490373233,0.00805868427714996
no_ADAS13,all,cross_fitted_intercept_slope,1,2,2630,2125,0.02508532438369271,0.029734370039296354,0.027386603825985525,0.015793297345314317,0.011593306480671209
no_ADAS13,all,cross_fitted_intercept_slope,1,3,2631,2217,0.029740626281677285,0.03514510807388571,0.032403945544942594,0.033997338974976254,-0.00159339343003366
no_ADAS13,all,cross_fitted_intercept_slope,1,4,2630,2188,0.0351452823491587,0.04192127476724927,0.0384109540127973,0.03310765755740086,0.005303296455396442
no_ADAS13,all,cross_fitted_intercept_slope,1,5,2630,2227,0.0419234788590338,0.051757572406140095,0.0465164335861418,0.05426737252567371,-0.0077509389395319095
no_ADAS13,all,cross_fitted_intercept_slope,1,6,2631,2283,0.0517638075971566,0.06620198692874002,0.058396921588468334,0.06306500750509525,-0.004668085916626916
no_ADAS13,all,cross_fitted_intercept_slope,1,7,2630,2244,0.06621670641853328,0.08983405550369528,0.07657537998038315,0.07311929501854864,0.003456084961834513
