model,analysis,scenario,history_stratum,prediction_type,horizon_years,n_patients,n_landmarks,n_cases,n_controls,n_early_censored,n_evaluable,unweighted_evaluable_event_fraction,patient_balanced_evaluable_prevalence,ipcw_weighted_prevalence,weighted_km_observed_risk,ipcw_weighted_mean_prediction,calibration_gap_prediction_minus_ipcw_prevalence,absolute_calibration_gap,calibration_intercept,calibration_intercept_status,calibration_model_intercept,calibration_slope,calibration_slope_status,auroc,auprc,brier,censoring_survival_at_horizon,max_ipcw_factor
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,all,cross_fitted_intercept_slope,3,12052,26303,5692,10692,9919,16384,0.347412109375,0.48693333833509095,0.36475507018750036,0.36466386000592055,0.4068924919148234,0.04213742172732304,0.04213742172732304,-0.2200373491546137,offset_logistic,-0.2126621989848045,1.0259896235127646,weighted_logistic,0.7648354469764497,0.6433581627607603,0.18715686746614743,0.43017910691470584,2.324613129568554
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,all,cross_fitted_intercept_slope,5,12052,26303,7457,5359,13487,12816,0.581850811485643,0.710685123856637,0.49715819754437524,0.49703653532766057,0.557145038015012,0.05998684047063679,0.05998684047063679,-0.30727292237317844,offset_logistic,-0.3140895811171503,1.0329446020661652,weighted_logistic_fallback,0.7809841380737002,0.7755238905444164,0.1944496102496782,0.24593058283102914,4.066188062047847
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,Snapshot,raw_zero_shot,1,8817,8817,334,8045,438,8379,0.03986155865855114,0.060787850363645105,0.058441281723819384,0.05843188651969611,0.05367432540653378,-0.004766956317285603,0.004766956317285603,0.09797513650037619,offset_logistic,-0.6569141044101678,0.7127698386864607,weighted_logistic_fallback,0.7050143918414453,0.12414034944220817,0.054685333485751685,0.9240460579924332,1.0821971387146903
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,Snapshot,raw_zero_shot,2,8817,8817,1371,5264,2182,6635,0.20663149962321026,0.3406016773673001,0.27635353674791685,0.2762853650515692,0.1364224510660099,-0.13993108568190696,0.13993108568190696,0.9933882313329255,offset_logistic,0.9860255612907424,0.9961038862433184,weighted_logistic,0.7125426569343996,0.48960154200879835,0.19994250817304196,0.5884633945944153,1.6993410451455977
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,Snapshot,raw_zero_shot,3,8817,8817,2008,3493,3316,5501,0.36502454099254683,0.5403757043582045,0.4026294737276684,0.40251220104399255,0.24257340811905317,-0.1600560656086152,0.1600560656086152,0.8660129479571488,offset_logistic,1.1956763304844977,1.2579685834332923,weighted_logistic,0.7565373877015652,0.6798243600776881,0.22626922466753452,0.4018598950319937,2.4884294560430966
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,Snapshot,raw_zero_shot,5,8817,8817,2580,1809,4428,4389,0.5878332194121668,0.7483119437538667,0.5288130836261417,0.5286670343392016,0.4161120510973579,-0.11270103252878377,0.11270103252878377,0.5375851976082922,offset_logistic,0.7688997430033447,1.4313315579587436,weighted_logistic,0.7813022863065259,0.8050995429578844,0.20802713648793242,0.22946936856814706,4.357880122474923
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,Snapshot,cross_fitted_intercept_only,1,8817,8817,334,8045,438,8379,0.03986155865855114,0.060787850363645105,0.058441281723819384,0.05843188651969611,0.06066860167822579,0.0022273199544064065,0.0022273199544064065,-0.0433279028654678,offset_logistic,-0.7694333738296663,0.7081780258666805,weighted_logistic_fallback,0.7035528838638059,0.12326913074791662,0.05494779121771608,0.9240460579924332,1.0821971387146903
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,Snapshot,cross_fitted_intercept_only,2,8817,8817,1371,5264,2182,6635,0.20663149962321026,0.3406016773673001,0.27635353674791685,0.2762853650515692,0.3146844305376235,0.038330893789706666,0.038330893789706666,-0.20892159770088914,offset_logistic,-0.20937079615625467,0.9993505842088775,weighted_logistic,0.71336354787245,0.4884656558378111,0.17784941514665717,0.5884633945944153,1.6993410451455977
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,Snapshot,cross_fitted_intercept_only,3,8817,8817,2008,3493,3316,5501,0.36502454099254683,0.5403757043582045,0.4026294737276684,0.40251220104399255,0.45599341230679524,0.05336393857912686,0.05336393857912686,-0.25676717832264606,offset_logistic,-0.23638936886263995,1.123615126464132,weighted_logistic,0.7521162682525856,0.6748878862093797,0.19850771092079325,0.4018598950319937,2.4884294560430966
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,Snapshot,cross_fitted_intercept_only,5,8817,8817,2580,1809,4428,4389,0.5878332194121668,0.7483119437538667,0.5288130836261417,0.5286670343392016,0.5991471963163639,0.07033411269022227,0.07033411269022227,-0.34280036119333346,offset_logistic,-0.41311413569752675,1.2164761050368589,weighted_logistic,0.7755053549323662,0.8014478760770015,0.199516198697332,0.22946936856814706,4.357880122474923
